Region,Crop_Type,Rainfall_mm,Temperature_C,Humidity_%,Soil_pH,Fertilizer_kg_per_hectare,Pesticide_kg_per_hectare,Area_hectare,Crop_Yield_ton_per_hectare
Central,Cotton,1612.61,25.84,42.63,7.37,217.23,6.89,9.25,21.51
East,Sugarcane,1548.28,31.69,72.64,6.21,160.65,6.45,18.11,27.61
North,Sugarcane,858.49,26.09,61.09,5.91,248.42,9.44,6.14,23.49
Central,Wheat,805.63,23.66,78.43,5.91,276.09,5.25,10.31,22.49
South,Wheat,1665.59,20.67,88.19,8.08,286.69,5.35,1.66,27.75
East,Cotton,672.26,16.36,40.33,5.35,149.03,2.08,2.67,16.62
North,Rice,1304.51,23.06,70.44,7.15,253.85,2.39,13.04,25.9
South,Wheat,1930.27,29.21,80.42,5.11,187.17,4.21,8.42,28.25
South,Rice,1240.76,22.09,31.97,6.25,223.28,5.44,19.69,22.07
West,Cotton,1690.72,32.93,32.81,8.23,149.4,3.69,10.72,29.15
Central,Wheat,809.82,25.58,39.72,8.42,142.13,9.48,8.22,23.59
East,Rice,492.84,25.76,86.2,4.62,157.12,2.3,19.53,21.21
North,Rice,957.21,22.67,62.62,7.56,189.68,7.99,13.16,22.86
West,Wheat,1319.88,33.86,85.15,8.05,88.3,8.85,4.26,27.49
Central,Sugarcane,1423.88,23.62,31.83,6.36,190.26,4.39,13.13,25.26
West,Maize,1257.88,23.26,64.47,6.35,169.36,9.2,14.67,16.4
Central,Sugarcane,1092.67,34.79,62.83,5.57,223.42,8.24,7.43,28.65
Central,Maize,1976.63,24.16,40.73,7.31,109.91,8.11,12.4,21.56
East,Rice,1501.61,15.12,58.05,5.68,283.34,7.08,15.5,18.93
Central,Wheat,1926.1,27.09,75.01,8.24,88.83,5.69,4.71,28.78
West,Cotton,682.51,18.14,44.0,5.47,111.92,2.14,16.25,16.03
Central,Wheat,1999.27,39.38,67.02,6.6,74.82,8.69,6.0,33.68
East,Sugarcane,1524.81,38.56,34.75,8.03,62.3,1.71,10.35,34.64
East,Maize,1955.11,37.42,68.21,5.38,230.8,4.37,10.65,39.35
West,Wheat,1369.59,36.87,47.2,6.22,205.0,9.11,2.69,28.54
South,Maize,646.41,37.57,74.8,7.7,242.23,9.87,2.9,28.33
South,Sugarcane,956.92,32.83,50.54,7.77,250.96,3.77,1.24,33.08
Central,Sugarcane,484.8,16.1,85.72,4.58,235.78,3.45,11.44,21.17
North,Wheat,642.32,37.57,60.25,7.88,136.9,7.75,2.66,24.08
Central,Cotton,1997.44,18.84,53.3,5.25,96.72,8.4,10.92,18.1
West,Cotton,1865.34,20.99,71.99,7.68,174.6,6.43,14.5,29.29
West,Maize,1842.9,35.98,34.31,8.47,172.24,9.55,13.55,27.91
West,Wheat,403.25,30.65,76.06,7.18,209.07,4.32,18.68,20.97
West,Rice,1120.87,25.16,89.68,6.88,133.42,9.64,15.85,20.06
West,Sugarcane,1651.22,35.39,58.43,4.92,79.22,5.41,2.61,33.43
East,Maize,762.58,23.64,35.54,6.02,154.06,2.16,13.86,20.78
South,Sugarcane,1072.12,25.36,79.11,7.27,88.55,6.46,16.57,16.43
West,Maize,727.86,15.4,48.96,6.13,205.51,6.75,10.7,19.59
North,Wheat,1508.28,33.87,51.5,5.38,80.11,5.33,11.79,27.83
North,Maize,1526.45,19.42,64.51,4.6,276.29,8.92,8.91,24.56
North,Maize,852.35,19.52,88.95,5.58,272.31,5.05,12.16,29.61
North,Rice,1163.67,16.4,56.08,7.63,78.43,2.84,2.72,14.26
East,Maize,1122.73,30.62,58.22,4.83,272.25,8.83,7.15,29.65
North,Cotton,1644.77,22.32,36.88,7.02,99.18,6.22,4.81,22.46
West,Maize,1480.28,21.36,63.23,7.22,148.16,4.34,11.23,25.68
Central,Maize,509.15,23.12,73.33,4.85,288.0,7.81,16.36,27.87
North,Wheat,641.7,29.18,66.09,6.51,282.88,1.72,14.12,27.32
East,Maize,1743.95,38.8,41.8,7.88,291.19,6.71,1.59,36.4
East,Rice,1944.89,37.57,66.01,5.55,266.42,9.76,18.99,38.37
North,Wheat,1418.21,15.69,35.76,5.07,85.83,2.15,0.62,17.1
Central,Sugarcane,983.63,22.61,32.72,5.17,241.99,4.82,5.47,26.71
North,Cotton,753.73,24.77,39.61,5.87,143.84,5.5,4.96,19.77
East,Cotton,1589.69,15.14,76.53,4.68,187.73,4.88,17.06,16.4
South,Sugarcane,1421.44,38.38,85.83,4.63,186.53,7.51,9.42,36.52
West,Maize,1854.24,27.21,39.06,7.87,159.9,1.73,11.16,28.63
East,Rice,1845.01,29.5,71.94,8.3,284.52,3.29,15.21,29.41
North,Rice,891.49,19.39,74.56,4.96,50.14,1.37,9.33,11.61
West,Rice,1684.67,23.26,75.56,6.49,87.86,2.04,2.26,20.24
North,Rice,805.75,33.39,62.22,7.95,243.47,6.85,4.9,30.24
North,Maize,1651.19,15.23,78.91,7.99,250.02,4.27,12.43,22.35
South,Sugarcane,668.97,18.74,71.0,5.15,101.1,3.08,5.61,14.72
West,Sugarcane,956.33,16.05,66.59,5.39,244.36,1.17,15.86,15.55
West,Cotton,537.51,26.1,58.54,6.12,127.47,6.75,3.25,20.79
South,Sugarcane,873.24,19.42,34.43,6.9,213.66,1.78,2.37,15.46
East,Rice,909.05,27.28,62.95,6.83,123.51,4.17,17.7,24.8
North,Maize,1469.88,32.98,63.84,8.35,216.83,6.46,4.18,33.38
Central,Wheat,1544.41,22.0,46.32,5.97,259.72,6.51,5.68,27.01
North,Wheat,1340.86,24.47,87.01,8.13,199.55,6.01,17.56,23.75
North,Rice,1632.13,17.07,75.77,4.87,92.27,3.19,7.32,22.39
East,Cotton,1122.52,32.67,40.37,6.59,74.64,8.6,7.71,23.86
North,Wheat,1404.66,26.14,87.29,8.06,150.18,9.87,5.19,31.63
South,Rice,974.81,28.42,86.29,4.6,278.28,5.57,3.99,24.51
South,Maize,1234.12,22.5,49.81,5.41,229.76,8.63,17.4,22.24
West,Wheat,625.7,24.74,79.93,6.27,221.69,8.22,6.29,22.04
Central,Rice,1377.58,18.87,34.83,7.44,289.79,4.3,17.86,24.81
North,Wheat,727.91,15.88,62.12,5.56,170.99,3.16,15.85,13.66
North,Maize,1137.38,30.64,47.27,6.77,263.63,2.93,16.06,29.41
East,Sugarcane,1464.72,16.37,35.02,5.07,118.48,4.46,1.26,21.2
South,Sugarcane,1084.54,28.41,53.66,6.95,167.36,4.8,6.53,21.47
Central,Maize,757.05,16.26,75.08,6.62,92.9,1.1,4.57,13.65
West,Maize,1465.91,33.59,88.7,8.41,136.28,7.44,11.35,21.47
South,Sugarcane,1764.05,16.44,37.69,4.68,191.7,2.91,1.5,23.27
West,Maize,1200.64,38.79,84.08,7.78,182.98,7.08,14.68,29.15
East,Maize,1292.24,26.41,54.59,6.56,193.36,9.53,14.57,25.14
East,Maize,1025.39,21.69,65.93,7.78,60.37,4.8,2.56,16.62
North,Sugarcane,1333.12,19.02,40.82,4.51,283.0,2.16,11.75,21.36
Central,Sugarcane,1192.49,27.33,37.75,7.31,70.58,3.1,8.32,14.76
West,Wheat,1594.52,29.79,75.6,5.06,235.11,6.26,0.84,32.56
South,Sugarcane,784.42,16.24,81.69,4.81,71.4,7.96,16.32,15.96
East,Wheat,1177.95,38.32,63.4,7.98,113.46,1.39,17.54,32.49
North,Sugarcane,905.96,24.8,56.55,7.71,245.4,1.05,3.57,20.43
North,Cotton,551.08,34.71,58.53,5.15,84.1,2.66,6.06,27.88
West,Wheat,1018.4,23.95,40.06,5.04,52.27,8.72,17.47,17.96
East,Maize,1925.06,25.31,80.8,7.51,118.46,2.74,10.66,26.53
Central,Cotton,1136.78,16.49,84.16,7.11,159.1,8.31,13.47,18.0
East,Sugarcane,1273.0,24.34,53.23,5.39,62.7,2.44,10.64,20.07
West,Sugarcane,1587.58,21.65,37.75,7.68,292.93,1.23,0.64,21.36
West,Cotton,1975.68,34.61,63.59,7.71,108.8,9.34,4.01,32.4
East,Rice,1058.84,20.37,74.51,6.82,191.88,7.84,14.38,15.97
West,Maize,1228.28,39.09,64.2,4.86,174.72,6.07,2.82,31.31
East,Wheat,1949.62,33.23,69.28,4.76,195.75,3.95,19.46,27.95
South,Cotton,1086.05,29.32,63.57,6.14,80.94,9.59,19.23,25.53
East,Wheat,1664.53,25.87,79.81,6.32,131.0,4.32,4.95,26.39
East,Sugarcane,1110.13,31.13,76.67,5.28,178.49,7.7,19.52,27.49
West,Rice,764.22,38.96,81.77,5.98,136.84,3.09,7.2,29.22
West,Rice,1898.13,39.66,32.55,4.9,264.15,1.09,16.4,39.09
North,Wheat,1539.29,15.77,47.27,6.77,219.02,8.96,18.32,22.34
North,Sugarcane,1781.66,28.28,38.77,7.05,111.89,5.94,14.47,23.98
South,Rice,585.74,27.2,72.22,5.62,86.42,5.75,15.72,22.01
North,Maize,1527.85,36.23,37.09,4.86,131.42,4.31,4.55,28.8
East,Sugarcane,1424.65,36.75,55.86,6.99,55.05,3.84,2.4,29.74
West,Cotton,1174.36,31.11,83.98,4.67,276.03,3.69,7.91,30.89
North,Cotton,627.35,28.51,50.03,7.56,127.68,8.99,5.95,17.45
North,Cotton,1063.65,16.2,36.67,8.23,283.76,3.99,13.29,21.86
South,Maize,1388.3,35.84,54.73,6.48,55.3,5.49,6.8,26.75
South,Sugarcane,1483.96,17.59,69.08,7.59,262.09,3.24,2.95,24.7
East,Wheat,587.17,33.91,72.33,7.78,286.92,9.76,17.44,34.69
West,Wheat,1110.12,25.06,86.54,6.1,86.42,3.54,1.1,23.63
South,Sugarcane,1080.83,28.49,62.57,5.26,198.39,1.97,14.39,30.76
North,Maize,1657.99,18.99,89.92,6.63,181.86,7.67,17.17,20.1
West,Sugarcane,465.93,16.62,65.93,5.74,209.71,9.88,8.01,12.7
West,Wheat,1656.78,36.79,66.78,4.54,255.59,2.69,6.18,37.06
North,Sugarcane,1653.64,18.54,89.16,7.02,208.94,1.45,8.38,28.39
South,Cotton,1515.35,19.97,37.95,5.83,119.87,2.88,5.75,25.29
North,Sugarcane,1839.61,15.83,54.92,5.96,137.29,9.3,16.35,17.56
West,Rice,1144.27,22.99,30.87,6.87,205.48,1.7,12.57,25.82
Central,Sugarcane,553.74,23.68,65.84,7.97,222.07,2.22,2.33,18.62
Central,Wheat,930.4,25.2,70.28,6.8,288.05,4.45,16.35,28.48
East,Wheat,1378.0,29.08,84.41,7.41,150.62,2.33,8.47,27.99
North,Wheat,916.63,35.55,52.35,7.3,137.22,8.64,13.2,23.89
North,Cotton,1412.72,29.75,60.09,8.36,252.56,9.06,7.32,29.23
East,Wheat,469.8,32.08,69.31,6.49,122.01,1.32,7.49,26.87
East,Rice,512.55,29.29,59.97,5.03,186.12,4.28,5.53,25.41
East,Sugarcane,416.83,35.65,74.34,5.03,128.83,8.5,3.27,30.3
West,Maize,1961.53,25.96,64.75,6.04,211.47,7.11,0.74,32.29
North,Wheat,818.63,23.12,42.76,4.52,278.04,1.32,2.89,20.66
West,Sugarcane,1672.89,29.51,87.69,8.09,226.6,1.39,5.63,31.49
East,Cotton,1818.95,25.23,34.19,6.53,229.42,2.44,9.02,27.03
North,Sugarcane,652.17,26.58,30.99,6.09,280.58,4.47,7.49,29.27
West,Wheat,718.59,27.61,63.4,7.98,189.8,5.03,1.17,26.38
West,Wheat,1011.78,26.72,33.76,7.81,51.9,6.8,0.93,21.9
East,Wheat,1206.5,21.71,78.83,5.4,255.95,8.05,5.49,23.25
North,Rice,1255.59,24.94,66.87,6.5,277.55,5.44,15.83,25.42
East,Sugarcane,1017.09,38.84,66.25,5.96,135.86,9.53,7.78,26.74
North,Maize,1337.96,25.36,59.14,8.43,134.14,3.84,1.59,22.15
Central,Rice,1577.74,19.86,56.03,6.69,274.77,5.86,16.87,25.81
South,Maize,1520.2,16.01,65.0,7.64,169.06,5.03,10.54,14.09
South,Wheat,448.33,28.38,33.23,7.54,76.02,9.93,5.6,18.3
South,Maize,1349.27,31.74,50.67,7.22,268.34,9.34,3.26,32.91
East,Maize,1540.2,27.73,62.56,8.27,211.12,6.34,17.05,28.72
Central,Rice,721.08,31.1,39.74,8.04,146.67,5.32,19.28,24.9
North,Rice,1365.79,23.84,86.37,7.54,176.89,8.4,9.7,23.44
West,Sugarcane,577.32,16.71,74.36,6.66,147.53,8.25,16.31,18.86
North,Maize,1463.92,25.49,75.44,7.25,82.44,3.94,3.08,18.09
West,Rice,1392.65,27.91,63.91,6.26,82.59,3.92,8.63,25.15
North,Sugarcane,785.53,33.99,49.01,6.41,144.21,5.46,4.78,28.87
Central,Maize,1800.52,38.05,86.61,5.76,178.32,3.58,16.65,32.88
West,Maize,1690.53,33.08,72.5,8.3,71.48,3.39,11.55,29.27
East,Wheat,1582.41,29.9,65.22,8.5,254.2,3.01,15.27,28.94
North,Rice,1135.29,18.8,63.54,4.88,246.79,9.14,16.57,20.95
North,Cotton,763.03,15.32,54.99,5.78,194.38,4.32,16.51,14.8
West,Rice,1651.49,22.14,69.9,5.82,76.9,6.18,5.98,17.56
East,Wheat,743.28,18.8,68.12,4.53,198.63,5.08,12.16,16.58
East,Sugarcane,1179.1,19.11,61.32,6.66,279.79,1.52,6.23,26.28
Central,Rice,1005.91,36.71,57.56,6.88,79.04,7.43,15.47,31.41
East,Maize,723.2,37.65,30.27,7.91,86.79,5.64,13.61,21.8
East,Cotton,1383.41,38.85,87.98,5.37,164.33,3.85,7.47,26.36
East,Sugarcane,1971.31,17.16,82.57,5.6,134.04,4.7,3.42,25.53
South,Rice,1162.04,17.6,59.44,7.17,105.54,3.14,1.02,20.82
Central,Sugarcane,1199.25,21.26,37.44,7.95,257.07,4.22,15.55,25.95
North,Maize,996.38,38.97,45.93,6.68,274.03,7.58,19.83,35.91
West,Cotton,765.25,19.77,32.84,5.91,250.29,7.93,8.9,17.85
North,Maize,852.12,32.31,39.94,4.96,283.76,6.53,16.3,30.22
Central,Cotton,1801.31,20.65,52.61,7.08,219.4,9.27,12.14,25.46
West,Sugarcane,1916.99,34.66,72.04,7.33,219.96,2.57,7.74,30.58
Central,Rice,1721.97,31.68,80.32,7.6,170.82,5.75,17.11,31.65
East,Cotton,442.31,28.91,31.9,8.34,60.2,7.24,2.26,20.13
West,Maize,1372.48,29.69,66.52,5.13,62.59,1.67,4.79,24.6
East,Cotton,1278.84,39.53,36.04,6.72,211.3,3.28,8.62,41.69
North,Sugarcane,1639.62,21.49,76.37,7.01,291.65,7.04,1.27,33.83
North,Sugarcane,1648.9,28.58,41.13,6.87,283.63,9.85,1.35,29.81
West,Sugarcane,1100.98,29.2,65.24,4.57,232.21,5.71,4.65,25.89
West,Rice,860.05,18.58,41.84,4.62,151.19,8.99,11.79,15.17
Central,Sugarcane,555.69,19.73,66.63,7.33,140.64,3.29,18.7,13.72
Central,Rice,1378.12,30.93,46.84,5.6,166.33,5.53,17.08,28.13
East,Wheat,837.77,25.37,52.71,6.02,72.18,1.81,5.27,15.18
West,Cotton,1943.42,39.51,53.16,6.22,162.63,5.1,6.1,37.62
North,Maize,474.8,20.34,73.26,7.56,95.13,4.21,10.44,13.53
Central,Rice,1942.86,26.39,71.85,5.0,233.59,8.33,18.95,30.75
Central,Rice,1193.2,16.96,76.14,6.51,142.59,8.17,8.72,18.53
North,Maize,1370.54,18.08,32.14,7.55,287.4,7.68,16.5,24.35
Central,Cotton,1333.66,28.13,33.04,6.86,174.31,6.45,13.3,25.26
East,Sugarcane,1604.33,27.49,65.05,5.72,190.64,4.08,3.12,32.47
West,Cotton,545.45,34.12,84.52,7.77,268.12,6.62,0.87,32.77
North,Rice,1820.56,20.88,88.63,6.62,104.6,7.43,2.32,20.91
West,Sugarcane,1665.67,16.67,89.68,5.06,137.69,7.49,12.19,20.4
Central,Wheat,1760.26,21.03,51.75,8.39,179.72,5.41,11.96,21.36
Central,Maize,1176.61,31.99,62.52,6.08,203.58,9.26,1.36,27.53
North,Cotton,1516.49,32.32,40.63,8.07,135.88,1.36,16.01,31.52
East,Sugarcane,1131.62,24.24,41.66,5.1,266.38,2.78,2.18,25.9
South,Maize,608.57,26.7,66.19,5.11,111.1,1.86,10.11,23.39
North,Cotton,883.21,39.65,72.89,6.1,115.35,4.71,4.93,31.83
South,Rice,845.46,37.08,63.26,8.28,125.44,6.82,17.27,30.32
South,Rice,665.66,29.25,86.63,6.69,96.43,5.56,17.36,21.84
East,Rice,786.11,22.92,48.96,7.46,74.76,5.65,6.0,20.34
South,Wheat,1197.62,36.46,40.23,6.19,192.99,7.56,14.25,31.04
South,Rice,1075.54,29.94,55.74,7.26,298.54,7.1,6.05,23.27
East,Rice,926.66,36.4,88.59,8.32,113.16,2.15,16.03,33.82
South,Rice,1850.75,32.15,64.95,5.23,62.41,3.97,15.24,23.9
South,Sugarcane,1645.93,23.55,35.93,5.83,80.9,1.78,4.93,20.44
South,Maize,404.03,34.56,50.05,7.26,211.89,9.02,11.23,21.16
North,Wheat,1312.58,26.26,81.61,7.74,192.7,8.57,14.5,25.39
North,Cotton,1519.8,19.4,66.75,6.88,257.12,9.57,3.24,27.19
North,Wheat,485.45,32.02,80.43,7.7,109.54,8.78,0.51,23.55
East,Maize,582.4,29.76,36.5,5.13,281.51,9.06,4.26,24.25
Central,Rice,845.7,29.18,61.47,8.36,55.15,2.05,10.07,23.6
South,Rice,1382.14,28.76,72.42,7.19,217.68,5.48,15.14,29.48
South,Cotton,1877.0,25.95,45.2,6.9,117.3,9.27,5.67,26.17
East,Wheat,1177.36,38.24,73.42,4.75,273.34,8.38,5.94,37.08
South,Wheat,1971.68,39.67,60.08,7.45,75.47,8.89,8.16,29.13
North,Cotton,1898.78,35.34,75.06,7.86,178.55,5.94,15.08,33.43
Central,Wheat,1419.78,30.76,61.1,4.85,59.83,9.77,12.7,23.49
West,Wheat,1132.77,34.25,71.63,4.63,177.47,8.71,2.51,33.34
South,Wheat,1490.53,35.61,51.0,7.2,295.97,2.79,3.15,28.25
North,Cotton,1665.92,20.9,82.6,5.66,225.33,9.22,19.52,20.98
West,Cotton,1908.91,25.0,54.32,6.27,202.95,7.5,15.03,27.09
Central,Maize,1605.63,38.06,78.41,4.55,183.84,2.86,18.78,31.56
West,Wheat,1026.49,21.83,48.39,5.1,201.89,1.95,9.0,23.32
North,Maize,1189.28,36.45,59.06,6.15,293.72,8.69,3.84,29.05
West,Sugarcane,475.22,29.32,56.58,5.88,102.99,2.09,9.11,14.74
East,Sugarcane,445.99,31.99,76.59,7.86,139.25,8.28,17.92,18.86
West,Wheat,850.42,35.21,71.67,5.71,264.99,7.59,15.78,32.77
South,Rice,1689.76,37.63,67.35,6.78,164.8,2.0,15.67,36.35
South,Sugarcane,910.79,30.8,60.92,5.16,136.87,2.27,3.01,23.89
